Match Date,Home Team,Away Team,Score,Points Home Team,Points Away Team,Total Points,Attendance,Referee,Referee Nationality,Kickoff Time
23 May 1987,Australia,England,19–6,19,6,25,"17,896",Keith Lawrence,New Zealand,
24 May 1987,Japan,United States,18–21,18,21,39,"4,000",Guy Maurette,France,
30 May 1987,England,Japan,60–7,60,7,67,"4,893",René Hourquet,France,
31 May 1987,Australia,United States,47–12,47,12,59,"10,855",Brian Anderson,Scotland,
3 June 1987,England,United States,34–6,34,6,40,"8,785",Kerry Fitzgerald,Australia,
3 June 1987,Australia,Japan,42–23,42,23,65,"8,785",Jim Fleming,Scotland,
24 May 1987,Canada,Tonga,37–4,37,4,41,"7,000",Clive Norling,Wales,
25 May 1987,Ireland,Wales,6–13,6,13,19,"15,000",Kerry Fitzgerald,Australia,
29 May 1987,Tonga,Wales,16–29,16,29,45,"19,000",Dave Bishop,New Zealand,
30 May 1987,Canada,Ireland,19–46,19,46,65,"9,000",Fred Howard,England,
3 June 1987,Canada,Wales,9–40,9,40,49,"14,000",Dave Bishop,New Zealand,
3 June 1987,Ireland,Tonga,32–9,32,9,41,"4,000",Guy Maurette,France,
22 May 1987,New Zealand,Italy,70–6,70,6,76,"20,000",Bob Fordham,Australia,
24 May 1987,Argentina,Fiji,9–28,9,28,37,"13,000",Jim Fleming,Scotland,
27 May 1987,New Zealand,Fiji,74–13,74,13,87,"25,000",Derek Bevan,Wales,
28 May 1987,Argentina,Italy,25–16,25,16,41,"2,000",Roger Quittenton,England,
31 May 1987,Fiji,Italy,15–18,15,18,33,"13,000",Keith Lawrence,New Zealand,
1 June 1987,New Zealand,Argentina,46–15,46,15,61,"30,000",Roger Quittenton,England,
23 May 1987,Romania,Zimbabwe,21–20,21,20,41,"4,500",Stephen Hilditch,Ireland,
23 May 1987,France,Scotland,20–20,20,20,40,"18,000",Fred Howard,England,
28 May 1987,France,Romania,55–12,55,12,67,"7,000",Bob Fordham,Australia,
30 May 1987,Scotland,Zimbabwe,60–21,60,21,81,"12,000",David Burnett,Ireland,
2 June 1987,Romania,Scotland,28–55,28,55,83,"14,000",Stephen Hilditch,Ireland,
2 June 1987,France,Zimbabwe,70–12,70,12,82,"3,000",Derek Bevan,Wales,
6 June 1987,New Zealand,Scotland,30–3,30,3,33,"30,000",David Burnett,Ireland,
7 June 1987,Australia,Ireland,33–15,33,15,48,"14,356",Brian Anderson,Scotland,
7 June 1987,Fiji,France,16–31,16,31,47,"17,000",Clive Norling,Wales,
8 June 1987,England,Wales,3–16,3,16,19,"15,000",René Hourquet,France,
13 June 1987,Australia,France,24–30,24,30,54,"17,768",Brian Anderson,Scotland,
14 June 1987,New Zealand,Wales,49–6,49,6,55,"22,576",Kerry Fitzgerald,Australia,
18 June 1987,Australia,Wales,21–22,21,22,43,"29,000",Fred Howard,England,
20 June 1987,New Zealand,France,29–9,29,9,38,"48,035",Kerry Fitzgerald,Australia,
3 October 1991,England,New Zealand,12–18,12,18,30,"57,000",Jim Fleming,Scotland,
5 October 1991,Italy,United States,30–9,30,9,39,"7,500",Owen Doyle,Ireland,
8 October 1991,New Zealand,United States,46–6,46,6,52,"12,000",Efraim Sklar,Argentina,
8 October 1991,England,Italy,36–6,36,6,42,"30,000",Brian Anderson,Scotland,
11 October 1991,England,United States,37–9,37,9,46,"45,000",Les Peard,Wales,
13 October 1991,Italy,New Zealand,21–31,21,31,52,"15,711",Kerry Fitzgerald,Australia,
5 October 1991,Scotland,Japan,47–9,47,9,56,"40,000",Ed Morrison,England,
6 October 1991,Ireland,Zimbabwe,55–11,55,11,66,"40,000",Keith Lawrence,New Zealand,
9 October 1991,Ireland,Japan,32–16,32,16,48,"30,000",Laikini Colati,Fiji,
9 October 1991,Scotland,Zimbabwe,51–12,51,12,63,"35,000",Don Reordan,United States,
12 October 1991,Scotland,Ireland,24–15,24,15,39,"54,000",Fred Howard,England,
14 October 1991,Japan,Zimbabwe,52–8,52,8,60,"9,500",René Hourquet,France,
4 October 1991,Argentina,Australia,19–32,19,32,51,"11,000",Dave Bishop,New Zealand,
6 October 1991,Wales,Western Samoa,13–16,13,16,29,"45,000",Patrick Robin,France,
9 October 1991,Australia,Western Samoa,9–3,9,3,12,"15,000",Ed Morrison,England,
9 October 1991,Wales,Argentina,16–7,16,7,23,"35,000",René Hourquet,France,
12 October 1991,Wales,Australia,3–38,3,38,41,"54,000",Keith Lawrence,New Zealand,
13 October 1991,Argentina,Western Samoa,12–35,12,35,47,"8,500",Brian Anderson,Scotland,
4 October 1991,France,Romania,30–3,30,3,33,"22,000",Les Peard,Wales,
5 October 1991,Canada,Fiji,13–3,13,3,16,"5,000",Kerry Fitzgerald,Australia,
8 October 1991,France,Fiji,33–9,33,9,42,"18,548",Derek Bevan,Wales,
9 October 1991,Canada,Romania,19–11,19,11,30,"10,000",Sandy MacNeill,Australia,
12 October 1991,Fiji,Romania,15–17,15,17,32,"8,500",Owen Doyle,Ireland,
13 October 1991,France,Canada,19–13,19,13,32,"15,000",Stephen Hilditch,Ireland,
19 October 1991,France,England,10–19,10,19,29,"48,500",Dave Bishop,New Zealand,
19 October 1991,Scotland,Western Samoa,28–6,28,6,34,"54,000",Derek Bevan,Wales,
20 October 1991,Ireland,Australia,18–19,18,19,37,"54,500",Jim Fleming,Scotland,
20 October 1991,Canada,New Zealand,13–29,13,29,42,"30,360",Fred Howard,England,
26 October 1991,Scotland,England,6–9,6,9,15,"54,000",Kerry Fitzgerald,Australia,
27 October 1991,Australia,New Zealand,16–6,16,6,22,"54,000",Jim Fleming,Scotland,
30 October 1991,New Zealand,Scotland,13–6,13,6,19,"47,000",Stephen Hilditch,Ireland,
2 November 1991,Australia,England,12–6,12,6,18,"56,208",Derek Bevan,Wales,
25 May 1995,South Africa,Australia,27–18,27,18,45,"44,778",Derek Bevan,Wales,
26 May 1995,Canada,Romania,34–3,34,3,37,"8,000",Colin Hawke,New Zealand,
30 May 1995,South Africa,Romania,21–8,21,8,29,"45,000",Ken McCartney,Scotland,
31 May 1995,Australia,Canada,27–11,27,11,38,"16,000",Patrick Robin,France,
3 June 1995,Australia,Romania,42–3,42,3,45,"15,542",Naoki Saito,Japan,
3 June 1995,South Africa,Canada,20–0,20,0,20,"31,000",David McHugh,Ireland,
